CODE=000001.SZ
19970825,3,ZhuanZeng,7.65,0.7696
19980821,1,SongGu,6.42,0.6667
19980821,4,ZhuanZeng,6.42,0.6667
20000831,0.25,PaiXi,9.41,0.9066
20000831,1,SongGu,9.41,0.9066
20001221,2.7272,PeiGu,7.91,0.9484
20010716,0.1137,PaiXi,7.39,0.918
20010716,0.4372,SongGu,7.39,0.918
20010716,0.4372,ZhuanZeng,7.39,0.918
20030416,0,GengMing,4.92,1
20030512,0,GengMing,3.59,1
20040518,0,GengMing,3.33,1
20060731,0,GengMing,4.02,1
20060731,1,SongGu,4.02,1
20060731,5.5,ZhuanZeng,4.02,1
20061009,0,GengMing,2.63,1
20080625,0,GengMing,3.34,1
20151231,10880.7,ZengFa,10.18,1
20151231,3539.622,ZengFa,10.18,1
20210506,0,GengMing,2.22,1
CODE=000006.SZ
19930607,3,PeiGu,23.35,0.696
19930607,3,SongGu,23.35,0.696
19940627,2,PaiXi,7.96,0.6156
19940627,6,SongGu,7.96,0.6156
19941227,1.5,PeiGu,7.67,0.9612
19950711,1,PaiXi,4.43,0.756
19950711,3,SongGu,4.43,0.756
19960729,2,PaiXi,7.85,0.9752
19970328,3,PeiGu,16.82,0.9206
19970709,0.769,PaiXi,14.88,0.7615
19970709,1.538,SongGu,14.88,0.7615
19970709,1.538,ZhuanZeng,14.88,0.7615
19980730,2,PaiXi,14.1,0.8975
19980730,1,SongGu,14.1,0.8975
19990721,2,PaiXi,11.97,0.9836
20000721,1,PaiXi,13.76,0.9928
20010829,2,PaiXi,13.38,0.9853
20020819,1.3,PaiXi,11.59,0.9889
20030724,0.8,PaiXi,6.26,0.9874
20050630,0.75,PaiXi,4.03,0.9829
20060112,0,GengMing,4.27,1
20060112,2,SongGu,4.27,1
20060628,1.8,PaiXi,7.13,0.9754
20061009,0,GengMing,0,1
20070529,3.5,PaiXi,28.13,0.9877
20080429,1,PaiXi,12.6,0.498
20080429,5,SongGu,12.6,0.498
20080429,5,ZhuanZeng,12.6,0.498
20090626,0.8,PaiXi,12.29,0.9935
20100513,1.2,PaiXi,5.85,0.658
20100513,5,SongGu,5.85,0.658
20110614,0.6,PaiXi,5.48,0.7632
20110614,3,SongGu,5.48,0.7632
20120711,0.4,PaiXi,4.38,0.7644
20120711,3,SongGu,4.38,0.7644
20130620,1,PaiXi,4.45,0.9329
20130620,0.5,SongGu,4.45,0.9329
20140609,1.55,PaiXi,4.61,0.9685
20150619,1.18,PaiXi,17.18,0.9931
20160617,1.2,PaiXi,7,0.9831
20170616,1.8,PaiXi,8.76,0.9799
20180622,1.81,PaiXi,5.94,0.9706
20190619,1.95,PaiXi,5.42,0.9661
20200618,1.79,PaiXi,5.9,0.9704
20210623,1.93,PaiXi,5.06,0.9638
CODE=000007.SZ
19921109,0.5,PaiXi,19.2,0.8312
19921109,2,SongGu,19.2,0.8312
19930531,5,PeiGu,16.2,0.7043
19930531,2,SongGu,16.2,0.7043
19940630,3,PeiGu,5.46,0.6675
19940630,1,PaiXi,5.46,0.6675
19940630,4,SongGu,5.46,0.6675
19950802,2,PaiXi,3.83,0.9504
19960902,0.3,PaiXi,5.68,0.9947
19970703,3,SongGu,12.23,0.513
19970703,6.5,ZhuanZeng,12.23,0.513
20010419,0,GengMing,13.43,1
20020412,0,GengMing,9.93,1
20060814,0,GengMing,3.78,1
20060814,5.2,ZhuanZeng,3.78,1
20061009,0,GengMing,2.7,1
20070423,0,GengMing,0,1
20100127,0,GengMing,0,1
20110520,4600,ZengFa,9.51,1
20120504,0,GengMing,0,1
20160217,0,GengMing,0,1
20170522,5,ZhuanZeng,15.87,0.6665
20210430,0,GengMing,3.94,1
CODE=000008.SZ
19930531,3,PeiGu,13.1,0.8162
19930531,0.5,PaiXi,13.1,0.8162
19930531,1.5,SongGu,13.1,0.8162
19940616,0.5,PaiXi,4.83,0.763
19940616,2,SongGu,4.83,0.763
19940616,1,ZhuanZeng,4.83,0.763
19940919,1.5,PeiGu,9.57,0.9071
19950830,1,SongGu,4.43,0.9097
19960905,3,ZhuanZeng,5.88,0.7686
19990818,0,GengMing,25.79,1
20020430,0,GengMing,14.59,1
20030512,0,GengMing,7.47,1
20040220,0,GengMing,8.6,1
20050222,0,GengMing,10.58,1
20050523,0,GengMing,5.73,1
20051213,0,GengMing,4.92,1
20051213,2,SongGu,4.92,1
20061009,0,GengMing,4.67,1
20070330,0,GengMing,7.55,1
20080403,0,GengMing,7.99,1
20121231,7814.761,ZengFa,10.81,1
20130419,0,GengMing,0,1
20130528,10,ZhuanZeng,7.2,0.5
20150206,18044.23,ZengFa,24.81,1
20150206,6984.866,ZengFa,24.81,1
20150313,0,GengMing,26.87,0.6897
20150313,4.5,ZhuanZeng,26.87,0.6897
20150924,20,ZhuanZeng,8.86,0.3335
20160202,25940.59,ZengFa,8.31,1
20160321,8887.047,ZengFa,10.02,1
20161228,5136.9,Jili,0,1
20170602,0.1,PaiXi,7,0.9986
20170925,1077.9,Jili,0,1
20180607,0.5,PaiXi,4.96,0.99
20190628,0.1,PaiXi,3.83,0.9974
20200529,0.1,PaiXi,2.96,0.9966
CODE=000009.SZ
19930412,0.9,PaiXi,22.6,0.7661
19930412,3,SongGu,22.6,0.7661
19940616,1.22,PaiXi,5.3,0.5805
19940616,7,SongGu,5.3,0.5805
19950721,1,PaiXi,3.2,0.7805
19950721,2.5,SongGu,3.2,0.7805
19960424,2.4,PeiGu,3.38,0.9441
19960807,0.3,PaiXi,5.21,0.9473
19960807,0.5,SongGu,5.21,0.9473
19970807,0.2,PaiXi,5.3,0.9962
19990430,0,GengMing,3.91,1
20000414,0,GengMing,6,1
20061009,0,GengMing,0,1
20080516,0,GengMing,14.33,1
20080516,1.4923,SongGu,14.33,1
20080516,1.38,ZhuanZeng,14.33,1
20090806,0.3,PaiXi,12.16,0.95
20090806,0.5,SongGu,12.16,0.95
20100827,0.35,PaiXi,10.59,0.9972
20110803,0.2,PaiXi,20.52,0.999
20130726,0.3,PaiXi,10.17,0.8677
20130726,1,SongGu,10.17,0.8677
20130726,0.5,ZhuanZeng,10.17,0.8677
20140709,0.3,PaiXi,8.48,0.8306
20140709,2,SongGu,8.48,0.8306
20150304,8687.166,ZengFa,14.84,1
20150806,0.2,PaiXi,10.68,0.9981
20160721,0.7,PaiXi,10.75,0.7373
20160721,2.5,SongGu,10.75,0.7373
20160721,1,ZhuanZeng,10.75,0.7373
20170816,0.2,PaiXi,8.68,0.9977
20180727,0.2,PaiXi,5.13,0.9961
20190722,0.2,PaiXi,4.63,0.8312
20190722,2,ZhuanZeng,4.63,0.8312
20200813,0.2,PaiXi,7.88,0.9975
20210826,0.3,PaiXi,28.98,0.999
CODE=000010.SZ
19960722,0.8,PaiXi,6.9,0.8835
19960722,1.2,SongGu,6.9,0.8835
19970725,1.5,PaiXi,12.04,0.9877
19971210,3,PeiGu,12.04,0.8509
19990531,10,ZhuanZeng,9.43,0.5
20000427,0,GengMing,10.05,1
20010410,0,GengMing,0,1
20060509,0,GengMing,0,1
20061009,0,GengMing,4.77,1
20070321,0,GengMing,8.58,1
20130719,0,GengMing,5.968,0.25
20130719,0,ZhuanZeng,5.968,0.25
